financiamiento,tp_sexo,tp_area,inev,pes
Publico,Mujer,Urbana,8.3,770.0
Publico,Hombre,Urbana,6.95,610.0
Publico,Mujer,Urbana,7.16,650.0
Publico,Hombre,Urbana,7.47,660.0
Publico,Hombre,Urbana,7.17,625.0
Publico,Mujer,Urbana,8.15,750.0
Publico,Hombre,Urbana,7.3,650.0
Publico,Mujer,Urbana,6.66,580.0
Publico,Hombre,Urbana,7.29,640.0
Publico,Mujer,Urbana,7.63,685.0
Publico,Mujer,Urbana,7.24,630.0
Publico,Hombre,Urbana,8.86,845.0
Publico,Mujer,Urbana,7.14,625.0
Publico,Hombre,Urbana,7.06,625.0
Publico,Mujer,Urbana,7.87,715.0
Publico,Hombre,Urbana,8.98,850.0
Publico,Hombre,Urbana,6.62,580.0
Publico,Mujer,Urbana,7.22,630.0
Publico,Mujer,Urbana,7.42,655.0
Publico,Mujer,Urbana,6.84,590.0
Publico,Mujer,Urbana,7.74,690.0
Publico,Hombre,Urbana,6.88,600.0
Publico,Hombre,Urbana,7.36,645.0
Publico,Mujer,Urbana,7.08,615.0
Publico,Hombre,Urbana,7.06,620.0
Publico,Mujer,Urbana,7.28,650.0
Publico,Mujer,Urbana,8.4,785.0
Publico,Mujer,Urbana,6.84,605.0
Publico,Mujer,Urbana,6.79,600.0
Publico,Mujer,Urbana,6.77,590.0
Publico,Hombre,Urbana,6.66,585.0
Publico,Mujer,Urbana,6.46,565.0
Publico,Mujer,Urbana,6.87,615.0
Publico,Mujer,Urbana,6.45,560.0
Publico,Hombre,Urbana,8.05,745.0
Publico,Mujer,Urbana,7.68,690.0
Publico,Mujer,Urbana,6.15,535.0
Publico,Hombre,Urbana,7.51,670.0
Publico,Hombre,Urbana,6.74,586.0
Publico,Mujer,Urbana,6.92,605.0
Publico,Mujer,Urbana,7.39,650.0
Publico,Mujer,Urbana,6.67,590.0
Publico,Hombre,Urbana,7.49,665.0
Publico,Mujer,Urbana,8.75,830.0
Publico,Mujer,Urbana,6.77,590.0
Publico,Hombre,Urbana,7.51,665.0
Publico,Hombre,Urbana,7.06,610.0
Publico,Mujer,Urbana,7.87,715.0
Publico,Hombre,Urbana,6.37,555.0
Publico,Hombre,Urbana,6.47,575.0
Publico,Mujer,Urbana,7.81,705.0
Publico,Mujer,Urbana,7.94,715.0
Publico,Hombre,Urbana,7.02,605.0
Publico,Hombre,Urbana,7.37,650.0
Publico,Hombre,Urbana,7.65,685.0
Publico,Hombre,Urbana,6.2,545.0
Publico,Mujer,Urbana,8.82,835.0
Publico,Mujer,Urbana,7.4,675.0
Publico,Mujer,Urbana,8.83,830.0
Publico,Mujer,Urbana,6.22,545.0
Publico,Mujer,Urbana,7.12,620.0
Publico,Hombre,Urbana,7.11,635.0
Publico,Hombre,Urbana,8.83,845.0
Publico,Hombre,Urbana,7.29,640.0
Publico,Mujer,Urbana,6.58,575.0
Publico,Hombre,Urbana,8.92,850.0
Publico,Hombre,Urbana,7.31,645.0
Publico,Hombre,Urbana,6.77,600.0
Publico,Mujer,Urbana,7.25,635.0
Publico,Hombre,Urbana,7.29,640.0
Publico,Mujer,Urbana,6.68,575.0
Publico,Hombre,Urbana,9.38,910.0
Publico,Mujer,Urbana,6.85,595.0
Publico,Mujer,Urbana,6.61,575.0
Publico,Hombre,Urbana,7.19,625.0
Publico,Mujer,Urbana,7.15,620.0
Publico,Hombre,Urbana,7.02,610.0
Publico,Hombre,Urbana,6.75,600.0
Publico,Hombre,Urbana,6.86,605.0
Publico,Mujer,Urbana,6.91,610.0
Publico,Hombre,Urbana,8.38,780.0
Publico,Hombre,Urbana,7.5,665.0
Publico,Hombre,Urbana,7.02,620.0
Publico,Mujer,Urbana,7.55,675.0
Publico,Hombre,Urbana,8.13,735.0
Publico,Hombre,Urbana,6.72,600.0
Publico,Hombre,Urbana,7.57,685.0
Publico,Mujer,Urbana,7.19,630.0
Publico,Hombre,Urbana,7.39,650.0
Publico,Mujer,Urbana,6.83,590.0
Publico,Hombre,Urbana,6.95,610.0
Publico,Hombre,Urbana,7.92,715.0
Publico,Hombre,Urbana,8.84,840.0
Publico,Mujer,Urbana,7.63,680.0
Publico,Mujer,Urbana,7.26,635.0
Publico,Hombre,Urbana,6.82,590.0
Publico,Hombre,Urbana,7.5,660.0
Publico,Mujer,Urbana,7.15,630.0
Publico,Mujer,Urbana,6.8,595.0
Publico,Mujer,Urbana,8.08,740.0
Publico,Mujer,Urbana,7.2,640.0
Publico,Hombre,Urbana,6.75,600.0
Publico,Mujer,Urbana,6.68,585.0
Publico,Hombre,Urbana,7.56,670.0
Publico,Hombre,Urbana,6.89,605.0
Publico,Hombre,Urbana,7.07,620.0
Publico,Hombre,Urbana,8.09,755.0
Publico,Hombre,Urbana,7.27,645.0
Publico,Hombre,Urbana,7.42,665.0
Publico,Mujer,Urbana,7.29,640.0
Publico,Mujer,Urbana,7.15,620.0
Publico,Hombre,Urbana,7.38,650.0
Publico,Hombre,Urbana,7.32,645.0
Publico,Mujer,Urbana,6.28,555.0
Publico,Mujer,Urbana,6.18,550.0
Publico,Hombre,Urbana,6.13,545.0
Publico,Mujer,Urbana,7.22,625.0
Publico,Hombre,Urbana,6.85,625.0
Publico,Hombre,Urbana,6.72,595.0
Publico,Mujer,Urbana,6.99,625.0
Publico,Mujer,Urbana,7.59,675.0
Publico,Hombre,Urbana,7.73,685.0
Publico,Mujer,Urbana,7.12,615.0
Publico,Hombre,Urbana,7.72,690.0
Publico,Hombre,Urbana,7.07,615.0
Publico,Hombre,Urbana,8.53,790.0
Publico,Hombre,Urbana,8.55,805.0
Publico,Hombre,Urbana,6.7,580.0
Publico,Mujer,Urbana,6.61,580.0
Publico,Hombre,Urbana,7.34,665.0
Publico,Hombre,Urbana,9.13,880.0
Publico,Hombre,Urbana,7.34,650.0
Publico,Hombre,Urbana,6.64,585.0
Publico,Mujer,Urbana,6.83,605.0
Publico,Hombre,Urbana,7.35,645.0
Publico,Hombre,Urbana,7.29,635.0
Publico,Hombre,Urbana,7.97,725.0
Publico,Mujer,Urbana,6.73,590.0
Publico,Mujer,Urbana,6.61,580.0
Publico,Mujer,Urbana,7.23,640.0
Publico,Hombre,Urbana,6.93,600.0
Publico,Mujer,Urbana,6.88,605.0
Publico,Mujer,Urbana,6.67,585.0
Publico,Hombre,Urbana,8.15,750.0
Publico,Hombre,Urbana,7.33,655.0
Publico,Hombre,Urbana,7.18,635.0
Publico,Hombre,Urbana,6.94,600.0
Publico,Mujer,Urbana,7.94,720.0
Publico,Hombre,Urbana,7.41,655.0
Publico,Mujer,Urbana,6.53,575.0
Publico,Hombre,Urbana,6.76,585.0
Publico,Mujer,Urbana,7.02,615.0
Publico,Mujer,Urbana,6.69,590.0
Publico,Hombre,Urbana,9.18,895.0
Publico,Mujer,Urbana,8.85,845.0
Publico,Hombre,Urbana,7.62,690.0
Publico,Hombre,Urbana,8.95,855.0
Publico,Mujer,Urbana,7.0,610.0
Publico,Hombre,Urbana,6.41,570.0
Publico,Hombre,Urbana,6.95,605.0
Publico,Hombre,Urbana,7.31,640.0
Publico,Mujer,Urbana,8.62,805.0
Publico,Hombre,Urbana,6.93,600.0
Publico,Mujer,Urbana,7.53,670.0
Publico,Hombre,Urbana,6.62,575.0
Publico,Hombre,Urbana,6.96,625.0
Publico,Mujer,Urbana,7.36,655.0
Publico,Mujer,Urbana,7.22,630.0
Publico,Mujer,Urbana,8.86,835.0
Publico,Mujer,Urbana,7.18,635.0
Publico,Mujer,Urbana,7.79,715.0
Publico,Mujer,Urbana,7.36,650.0
Publico,Hombre,Urbana,8.18,755.0
Publico,Mujer,Urbana,6.78,590.0
Publico,Mujer,Urbana,7.04,635.0
Publico,Hombre,Urbana,6.51,575.0
Publico,Mujer,Urbana,7.23,635.0
Publico,Hombre,Urbana,7.46,670.0
Publico,Hombre,Urbana,6.79,600.0
Publico,Mujer,Urbana,8.23,755.0
Publico,Hombre,Urbana,7.25,630.0
Publico,Hombre,Urbana,7.59,675.0
Publico,Hombre,Urbana,6.05,540.0
Publico,Hombre,Urbana,7.19,640.0
